Model,auuc_mean,auuc_std,qini_mean,qini_std,lift_30_mean,lift_30_std,krcc_mean,krcc_std,latency_ms_mean,latency_ms_std
TARNet,0.06866444209465028,0.09890516664275834,0.06370186665972793,0.09877707795330955,0.5601666271686554,0.21116870056268516,0.06682952198609472,0.03728355891515436,0.0008143108912145624,8.71960886509351e-05,192.11036924521127,0.058194522248546425
TARNet + ZILN,0.0790283108533236,0.13620806545841524,0.07915130670222541,0.13970375794754905,0.7461706340312958,0.3786376703060417,0.04178990542251198,0.07054312240249772,0.0021042193348004877,0.00029542018220457664,2.3315755175219643,0.045783779661571475
TARNet + ZILN + Focal,0.09185704992810477,0.17176689050475824,0.09350781263840909,0.17468561674835087,0.9315138429403305,0.36841892821787703,0.031156062075494317,0.08264295508178006,0.0012878514112335366,0.00010215695160174936,2.2479383210341135,0.047963968863308656
TARNet + ZILN + Focal + WR,0.08414085303684207,0.0854412784095443,0.08062505029849312,0.08579956900559897,0.8298876106739044,0.25196536815245374,0.030662550036267177,0.09204082160611537,0.0012426974351897762,0.00013182412048197954,2.2644894580046335,0.053679554791533926
TARNet + ZILN + Focal + GTI,0.07681045454006759,0.12332415190563907,0.07598267360435529,0.12225208607354937,0.8457201957702637,0.3231446799823102,0.03704753694838432,0.10204138331454728,0.0015330087714288123,0.0001172039569212798,2.2134303702248466,0.04074341499570776
TARNet + ZILN + Focal + GTI + WR,0.062236259648123106,0.14994901283168746,0.061831858526780706,0.15005692495648612,0.663145226240158,0.31815181167273193,0.009978109992075537,0.10108488532872913,0.0015940206114154938,0.00015006384017876616,2.224741958909564,0.04249375652825329
TARNet + RERUM,0.024221738789723397,0.17058864703598342,0.022396164531380085,0.17140110731292882,0.7373726963996887,0.4445414344102572,0.022739913556689247,0.07504812121005384,0.0016887191820130656,0.0002464581551262622,2.3111494017971888,0.08495717050752129
DragonNet,0.09537470378542894,0.10230096767693092,0.09128863558950075,0.10112241415413699,0.7451897203922272,0.3751083045817604,0.07000106383579166,0.05221170094697614,0.00095269526878149,0.00014544272566172718,192.81003192265828,0.04945505526963823
DragonNet + ZILN,0.07293291419470405,0.12120430316739127,0.06860358047932007,0.12253345120194716,0.7593381822109222,0.2715695676594835,0.03488858882438392,0.056909247375211455,0.0014241293358810345,0.0001733015846836597,3.086884494622548,0.05995991301444509
DragonNet + ZILN + Focal,0.13517311458451733,0.1370022139228816,0.1363212298270466,0.13961378021454499,0.8261430114507675,0.5570588881607347,0.06577042998952079,0.06857712090254442,0.0012537788971906827,0.0001560335459164297,2.947619258032905,0.05003190934578046
DragonNet + ZILN + Focal + WR,0.08789590217063169,0.10257790563709736,0.08617889180484758,0.10483867442320409,0.7897063493728638,0.33808933163887306,0.022999053764882753,0.0778853005443176,0.0012908671034767435,0.00019216914439323083,2.2397669434547423,0.056842763737380564
DragonNet + ZILN + Focal + GTI,0.036658011514012157,0.12458461117296299,0.034372582800872846,0.1242765143652286,0.6752973645925522,0.30988361330323694,0.03547258705785546,0.07466494507688581,0.0014716314322450181,0.0001349087135533867,2.2362730854087403,0.03730745701155562
DragonNet + ZILN + Focal + GTI + WR,0.09120698663228595,0.12691851912014832,0.08882791339972071,0.12716641026415998,0.7620092689990997,0.27845804777869065,0.07315435206351742,0.07770107643907061,0.0018676928335356648,0.00012212644421714925,2.217888751957152,0.0441026730327388
DragonNet + RERUM,0.04227543603066633,0.22258125104574533,0.043643196081132,0.22573759282077832,0.6400764644145965,0.6224314894782353,0.010678693063785053,0.09229864410330592,0.0012975045193356137,0.00024231676402732984,2.3085053059789873,0.04336605131652419
CFR-MMD,0.08842322458756814,0.1282087978399812,0.0853241601153996,0.12717403532032454,0.6138549208641052,0.4029259394942608,0.05825160351346849,0.06613609467935519,0.0006124962057362286,6.244860322215632e-05,192.13441260655722,0.05429997116270879
CFR-MMD + ZILN,0.07804837420370811,0.13722209098038,0.07817609955099239,0.14070291405684118,0.7446306884288788,0.3773784040512733,0.024130486963328694,0.057056788750570846,0.00134432934563831,0.00015946315203768283,2.3353251655896505,0.04560693209281786
CFR-MMD + ZILN + Focal,0.042477038821648556,0.12744783449993144,0.040259126263396554,0.12927036818659135,0.7706818759441376,0.2402888974918007,0.007143906126582519,0.07760028690013894,0.0012455010658607981,0.00016264515195736477,2.2787026597393885,0.16482304880600898
CFR-MMD + ZILN + Focal + WR,0.11806877232889534,0.16053333631011796,0.118346372100678,0.16233377748896172,0.6427999615669251,0.6194303316301738,0.03729109492952267,0.0927096817913105,0.0011541447833366169,0.00016608082213727957,2.226631989743974,0.05998358080230341
CFR-MMD + ZILN + Focal + GTI,0.12791892436830632,0.1032638290622197,0.1292431155569626,0.10596287686775524,0.8155987501144409,0.28246212398278864,0.042396091997512944,0.08920149654068821,0.0016033176015681854,0.0002631887089247437,2.2321738753053877,0.04345541435548153
CFR-MMD + ZILN + Focal + GTI + WR,0.04864865994012914,0.13512960513181219,0.04728180544882119,0.1347933952720709,0.6878917694091797,0.24210746604667338,-0.03088897324328759,0.09043460684489275,0.0015450624420036765,0.00027326879704600045,2.2434175703260633,0.05300777815925449
CFR-MMD + UpliftRank,0.13380547066987175,0.1523757962897944,0.1291096479468142,0.152473976910038,0.8529531359672546,0.4797949317343288,0.10733576832007749,0.06552080495317265,0.0006382336925119375,7.96427611495327e-05,192.12046113014222,0.03868420275156679
CFR-MMD + ZILN + UpliftRank,0.013056244238219966,0.16888431877992005,0.01307726729111421,0.17164893130056816,0.8017286121845245,0.4715950574172475,-0.0032819429422351284,0.07495092001188688,0.0012694459533416926,0.000178446751674655,2.299139850669437,0.036866273841503816
CFR-MMD + RespRank,0.0577509775425095,0.11871276406393537,0.05436088435345524,0.11852789341086932,0.5980879902839661,0.2373885121945136,0.03236519893309754,0.06109562861494235,0.0006452211495024258,0.00012625751387425395,192.1307160615921,0.041633036278008066
